,page,id,text,like,love,care,haha,wow,sad,angry
0,atunemusichebe,459676142185532,翻翻相簿回憶其中當然有許多我鍾愛的大自然遼闊美景也有家人朋友們溫馨相聚情感流動之美而生活處處也都有各種令人心動的美麗細節想想能如實呈現屬於我年的照片是一個在冬日午後正在會議室開會被外頭暖陽吸引而隔著窗拍下陽台的一隅冷冷的冬天亮晃晃的陽光灑下格外溫暖門檻上有反覆補上又斑駁的落漆角落有些搖搖欲墜的植栽送去陽台急診也救不回的枯萎了有些則努力的生長著陽光灑落在葉脈上生命力更顯通透清晰年的寒冷與溫暖凋零與生長窗裡與窗外斑駁與完善讓我體會了一體不只有兩面不管回顧哪一年奔向哪一個新年時間總在不可逆的流逝著也總在教我學習如何珍惜新的一年也會繼續愛繼續學祝福大家在新的一年在屬於自己生命的一隅適得其所平安快樂屬於你的照片是什麼呢想要像角落的左手香一樣香香的向陽生長,10628,1000,34,3,4,2,0
1,atunemusichebe,455641899255623,小樂手叮咚上線囉👂🏻,2084,245,7,1,1,0,0
2,atunemusichebe,452084076278072,👩🏻‍🍳🎂黑森林裡有諾貝松🍫🌲雪地上有草莓❄️🍓,11667,979,26,9,20,0,1
3,atunemusichebe,450930539726759,小樂手冷冷的天氣❄️❄️❄️快穿上全方位衝鋒衣👉暖暖的內層強悍的外層蓄熱升溫在內防風防潑水在外達到完美平衡三種穿法一次擁有穿上它溫暖又舒適❤️冬天一件就夠怕冷就穿衝鋒衣衝鋒衣,4883,458,13,2,10,0,1
4,atunemusichebe,441942027292277,十二月十二月的第一天今天正好用冷冷的空氣各種松葉的香氣及可愛的紅黃綠開啟不敢相信就要過完了感恩的季節聖誕的味道,11142,939,35,3,5,1,0
5,atunemusichebe,440796887406791,光影相生想到在小夜曲中喜歡的一段台詞一個人有兩個我一個在黑暗中醒著一個在光明中睡著我是烈火我也是枯枝一部分的我消耗了另一部分的我需要每個面向的自己坦然面對每個面向的自己光與影共生共存紀伯倫沙與沫,9008,839,30,2,7,0,1
6,atunemusichebe,438257937660686,小樂手最近越來越冷囉外套準備好了嗎🤗全新升級款的全方位衝鋒衣👉一起穿起來吧今年的新款式內外兩層可以分開穿也能合在一起外層防風防潑水內裡是雙重加絨設計冰島絨材質超保暖升溫效果也是大大提升🔥冬天一件就夠怕冷就穿衝鋒衣衝鋒衣,44582,2241,93,28,41,0,3
7,atunemusichebe,436723341147479,背影殺手喜歡從不同角度欣賞人事物背影好美來個特寫側面也是層層疊疊完美弧度晚安好眠,12637,894,20,9,19,0,1
8,atunemusichebe,431643258322154,喜歡山水喜歡自然喜歡滿眼望去綠意盎然喜歡帝康的凱莉綠讓我雙眼充滿綠意週日你眼睛裡是什麼我知道週一是眼神已死噗噗帝康新色報到臻魅彩色日拋隱形眼鏡安柏金凱莉綠奧麗灰,27129,2401,89,78,23,2,1
9,atunemusichebe,425641268922353,蒴果僅存的愛,9231,773,21,4,8,0,0
10,atunemusichebe,424699219016558,我喜歡我是赤裸的你也是赤裸的看著彼此肥胖和瘦弱而不嫌惡我們的愛禁得起一點幻滅的打擊仰頭假寐意志被打濕水推擠著簇擁著感覺不到身體存在閉眼時浮出腦海的許多心事疲累一擁而上還是趕緊起身擦乾那些皮膚的淚水穿衣為寒涼的心保暖時常我們驅車上山流連溫泉鄉心事在溫泉裡載浮載沉最終通通流走被泉水烹煮過的我們離開後醺然欲睡林婉瑜可能的花蜜流連溫泉鄉我們的愛禁得起一些幻滅的打擊醺然欲睡晚安好眠,27091,1570,63,14,30,2,1
11,atunemusichebe,418473359639144,中西古今人偶身聲善惡虛構與真相人性的幽微與人生的幽默表演紮實精湛視覺聽覺軟硬體設計精密執行導演煎煮炒炸巧妙揉合調度我就問王嘉明是瘋了還是想把誰逼瘋混音理查三世美味完食謝謝招待混音理查三世莎士比亞的妹妹們的劇團,13547,734,20,24,23,1,1
12,atunemusichebe,414856526667494,小樂手不一樣的嘗試喜歡嗎🤗雜誌田馥甄出道周年紀念刊,8637,895,16,6,21,0,1
13,atunemusichebe,413414506811696,🎤🎶🎤加油寶貝🎶我知道這些水域有希望但我不能帶自己去游泳當我沉淪於這種寂靜中時寶貝讓我進去,24678,2094,72,6,21,1,0
14,atunemusichebe,411617533658060,🧡🍂🤎喜歡季節的顏色秋器秋花想去山中晚安好眠秋天🧡🍂🤎喜歡季節的顏色秋器秋花想去山中晚安好眠,20918,1492,43,5,11,1,1
15,atunemusichebe,408101887342958,小樂手♥️田馥甄無人知曉的心境➡️封面人物田馥甄儂儂年月號,42476,3162,110,16,53,0,2
16,atunemusichebe,405171020969378,小樂手不如預期就享受變化吧勇敢大步邁進走向全新的可能和一起善愛自己享受每個美好時光🥰每一刻都是全新的開始光動能,6575,784,24,6,3,0,2
17,atunemusichebe,402691021217378,每個家庭都有自己的故事每位家人都有自己表達愛的方式謝謝誰來晚餐讓我的心和胃都被依伶可愛的一家人溫暖了也有機會認識他們愛彼此的方式謝謝我們身邊願意慷慨給予的朋友們愛自己本來就不容易謝謝你們願意愛著我們讓我們知道自己值得被愛而你們當然也值得啊❤️,7381,999,32,5,8,2,2
18,atunemusichebe,401901931296287,桌上的象與喵🐘🐱🤍,11841,803,24,26,30,0,2
19,atunemusichebe,398390091647471,中秋節快樂🌕月圓人團圓⚪踏青去看夕陽剝柚子烤肉趣嚐月餅賞月亮好圓滿大家月餅月亮烤肉柚子照片曬出來吧,23500,2010,70,32,12,0,2
20,atunemusichebe,391842452302235,謝謝我們一路伴著彼此傻傻的愛揮灑熱情揮霍青春放聲大笑勇敢追夢用力擁抱心碎絕望知所節制學會放手懂得珍惜保持率真依舊敢愛祝福我們永遠溫柔懂愛幽默週年快樂陳嘉樺任家萱我愛妳們❤️,102149,10255,405,42,31,2,6
21,atunemusichebe,361752715311209,一名在廁所拍花的女紙😛涼風桔梗和綠鈴草真的好適合夏天名字及視覺都降溫簡直是花草界的😂😆🤣噗噗綠鈴草涼風桔梗,54872,2225,104,428,33,0,1
