,text,label
0,今天的公投順利的舉行謝謝所有辛苦的選務人員也謝謝所有參與公投的台灣人民無論你投的是同意或者是不同意都是公民意志的展現正如我所說的公投沒有誰輸誰贏的問題只有國家未來要怎麼走的問題這次公投的過程傳達出四個明確的訊息第一台灣人民希望走向世界願意積極參與國際第二台灣人民支持能源轉型期待穩定供電並且維持經濟成長的動能第三台灣人民重視生態環保希望經濟和環保能夠達成雙贏第四台灣人民期待公共政策能夠資訊透明被理性討論我們也看見這次公投也傳達一些對政府施政的不同意見民主本來就會對政府的施政有不同的想法政策的規劃也應該要聽取不同的意見穩健執政是我們一貫的原則各種想法我們都會適當地納入政策評估與規劃當中藻礁保育食安把關我們也絕對不會打折扣我要特別謝謝賴清德副總統行政院蘇貞昌院長柯建銘總召立法院黨團以及所有執政團隊的同仁這幾個月來透過一場又一場的說明會讓大家了解我們施政的方向爭取台灣人民支持我們的主張這是一個能夠堅守執政價值也願意和人民溝通的團隊我們會繼續攜手為台灣打拚下去我要謝謝許多的公民團體儘管一開始大家對政策有不同的意見但終究能夠透過溝通討論找到共識找到對國家發展最好的方案也一起證明了我們的民主是奠基在一個成熟的公民社會之上這一次的公投說明及辯論有許多專家及學者的協助讓我們很多專業的問題可以更清楚的向社會說明我要謝謝他們這一次的公投再一次見證了透過民主機制不同的意見可以互相溝通說服人民的意志也可以凝聚出價值的選擇相信當每一次台灣面臨挑戰時民主都會是我們最堅強的後盾我們的眼前還有很多的挑戰我們會繼續努力回報台灣人民的期待再一次謝謝所有的台灣人民參與了這次的公投執政團隊會秉持著人民的託付繼續全力以赴讓台灣一天比一天更好,6
1,大家晚安我和賴清德副總統正在總統府內針對年全國性公民投票發表談話歡迎大家一起加入直播,6
2,大家晚安稍後七點半我將和賴清德副總統在總統府內針對年全國性公民投票發表談話歡迎大家一起加入直播,6
3,大家都出門投公投了嗎我們一路陪你不同意直播到投票結束今天就是公投投票日從現在開始到我們的黨公職與大家在線上連線提醒大家一定要記得去投票也帶大家直擊各地投票氣氛🔺提醒各位投票時記得要攜帶印章身分證和投票通知單蓋下四個不同意票唷,6
4,現在就出門投票就在剛剛我已經完成投票請大家也要記得盡快完成投票投下四個不同意我們一起用投票守護台灣未來的穩健發展台灣隊友站出來台灣隊投票回報四個不同意台灣更有力,6
5,如果你身邊還有對這四項公投猶豫的朋友請大家在投票前給我最後五分鐘聽聽我的說明這四案公投都是影響國家未來的重大政策我待會會去投票所投票請大家也一定要出門投票拜託大家幫我轉傳影片分享給你還在猶豫的親友們一起投下四個不同意讓台灣更有力台灣隊站出來,6
6,這段時間我一直在思考要在公投前的最後一晚說什麼才能讓更多人了解公投並支持我們的主張我想作為總統充分溝通誠心說服仍然是爭取人民認同最好的方法所以我選擇再講一次四個不同意的理由並動筆一字一句寫下來我想告訴大家這就是我對公投最真實的想法也是我心裡想對每一位台灣人民說的話最後一次我想請大家一起來了解為什麼四個不同意可以讓台灣的國際經貿布局能源安全以及民主深化更有力請大家跟我一起走我們一起讓台灣更有力讓台灣走出去以下是演講全文剛才我上來之前我也跟大家一起看了羅景壬導演站上你家的頂樓那支影片我的感觸很深裡頭的畫面真的是歷歷在目因為那是從年到現在的一支影片已經九年過去了當年的首投族現在都已經歲了九年來大家陪著我一起努力一起打拚大家還記得年選完的時候我們說我們還有最後一哩路我們走完了最後一哩路年我當選總統我們帶領這個國家到現在我們已經帶領台灣走了很遠了我要問在場的好朋友我想請問一下年投票給我的可以舉手一下嗎謝謝你們那年也投給我的也舉手看看好嗎下面這題比較困難一點年投票給我的請舉手好嗎太了不起了你們支持我這麼多年這麼多次的選舉不離不棄真的非常感謝你我要謝謝各位台灣隊友的支持你們的支持我一天都不敢忘記今天在這裡我們不是來為自己歡呼喝采的我們也不是來這裡批評對手互相取暖的我們來這裡是因為我們要團結努力台灣隊要站出來守住台灣防線這一段時間以來為了宣傳四個不同意的理由我看到台灣公民社會的成熟公投的四個議題都牽涉很複雜的政策能源轉型該怎麼做經濟和環保怎麼樣能夠雙贏台灣的國際經貿布局下一步是什麼我們以公投來決定重大政策能不能更理性我們的黨公職我們的支持者或者覺得自己對台灣未來有責任的年輕人都站出來把公投為什麼要四個不同意用最淺白的語言最容易理解的方式來說服更多台灣人民爭取更多支持所以我要在這裡再一次謝謝在這段期間站出來的所有朋友剛剛我們也聽了分享街講心情的年輕人的報告還有我們現場辦了一場又一場說明會的黨公職幹部謝謝你們謝謝你們讓台灣的民主繼續往前走在這裡我要再問大家一個問題明天月日我們就要投票了大家準備好了嗎大家決定了嗎你的決定是什麼對就是四個不同意台灣更有力接下來我要講的是要對那些還沒有打定主意還在猶疑的朋友我要再一次的說明希望能爭取你們的支持我也希望在場所有的好朋友今天在線上收看的好朋友在聽完我今天講的我們也可以走出去找到那個還沒有打定主意的朋友親戚鄰居再一次的說服他們這些還沒有做決定還在猶疑的人很可能是因為他們對特定價值的堅持也許他們珍愛藻礁重視生態保育可是我也要請你們理解政府並沒有只因為要發展經濟就不顧生態環境不同意停建三接我們把三接的開發面積縮小九成把工業港往外推我們展現溝通的誠意讓許多當初對三接有疑慮的公民團體現在能夠支持我們不同意停建三接的主張我們這些朋友他們理解現階段的三接方案是能兼顧生態保育又能夠減少南電北送降低中南部的空污同時在再生能源尚在發展階段的時刻三接能確保供電穩定支撐經濟發展這是一個雙贏方案我們要謝謝我們的行政團隊提出這個方案也要謝謝這些環保團體朋友願意和我們溝通跟我們一起說服社會大眾因此如果你現在還在猶疑還有保留我要請你為了國家整體的未來為了經濟為了我們能夠順利完成能源轉型在停建三接這一題投下不同意接下來我要向對於核電有期待的朋友說幾句話或許你認為核電是一個能源選項我尊重你的看法但我也請你聽聽我想告訴你的話不同意重啟核四核四絕對不是選項重啟核四更不是我們走向能源轉型走向未來安全潔淨可靠合乎成本效益的供電選項核四廠座落在地震斷層帶上一旦發生意外將是災難從車諾比到福島我們都見證了災害對於家園永久性的毀滅核四機組老舊供應商不復存在重啟核四將耗費鉅資及十年以上的時間而這些時間與金錢的資源我們可以用在具有未來性的能源開發上技術每天都在進步我們應該投資未來而不是回到過去另外核四廠及核廢料的處理經費龐大社會成本也難以承受沒有任何一個縣市願意接受核廢料的儲存這對土地狹小的台灣是難上加難因此無論你支持核電還是反對核電重啟核四都不應該是選項這一題我要拜託大家投下不同意不同意公投綁大選公投綁大選這一題也要拜託大家慎思我知道提案方的主張認為公投綁大選可以省下時間和金錢但是年的經驗告訴我們長長的投票隊伍不會省下大家的時間對於那些需要工作或其他原因沒有辦法排長長隊伍等待的人則是變相剝奪他們的投票權利邊投票邊開票也會影響到選舉的公平我要提醒大家正是因為這次公投和大選分開今天我才能在公投前的最後一場說明會依然在這裡一字一句跟大家解釋講道理說服更多人來支持四個不同意如果這一次是合併選舉無論是地方首長選舉還是總統加國會的選舉激烈的選情對人對黨的喜歡與不喜歡一定會影響我們對事情的判斷所以我們讓公投歸公投選舉歸選舉我們的責任是讓台灣民主更優質讓公民手上的每一張公投票都是經過完整思辨過程才決定如何行使的關鍵一票因此為了台灣的民主發展讓攸關國家重大議題的投票不要被選舉綁架公投綁大選這一票我要請求大家投下不同意不同意反美豬進口這次公投最具挑戰性的議題就是美豬進口的議題我知道很多人擔心食安擔心萊劑的使用會影響健康這是一個科學的問題科學上專家告訴我們只要符合國際標準就不會威脅到健康而九年前開放美牛的經驗證明符合標準且經過政府把關的牛肉並沒有造成食安的問題牛肉是如此豬肉也會是如此但是有些家長仍然擔心自己的子女這也在所難免因此學校裡供應的午餐將以國產豬肉供應更何況開放進口並不等於消費者的選擇受到限制消費者仍然能夠自由地選擇自己喜歡的豬肉產品民進黨在年在野的時候曾經擔心過萊劑使用的問題但在國際組織宣布相關的國際標準之後我們那時候的黨主席蘇院長也宣布我們也接受了國際標準經過九年的美牛進口的驗證我們認為食安的風險透過國際標準透過政府把關這個風險是可以掌握的也因此我們決心進一步的開放美豬為了解決長久以來台灣跟美國貿易上的困難為下一階段台灣跟美國的貿易關係打下基礎我也要告訴大家因為我們進一步開放美豬進口今年美國宣布重啟這是台灣跟美國貿易諮商對話的最重要平台有了這個平台台美才有機會共同討論雙邊經貿議題為走向一個更自由化的雙邊貿易做好準備當條件成熟的時候我們也希望能夠跟美國簽署自由貿易協定同樣的道理我們也希望加入這個高標準的自由貿易協定很多的會員國都表示歡迎台灣但他們期待台灣能拿出決心克服困難打開市場遵守國際規則因此他們也都在看我們如何解決美豬這個困難的貿易問題無論是台美還是這都是台灣要擺脫被孤立的重要布局美豬進口就是關鍵中的關鍵台灣固然有半導體及電子產業在國際上占有一席之地但我們仍然有很多產品尤其是傳統產業的出口仍受到關稅非關稅障礙的阻礙我們勢必要透過雙邊或區域的自由貿易協定為這些產業打開國際市場走出去與世界接軌為產業爭取更多的機會我們走的路比其他國家更艱難更坎坷這是因為我們有一個鄰居正用盡全力要阻止台灣走向世界但是為了台灣的生存發展我們一定走出去身為總統我想請求台灣人民理解國家的處境以及我們生存發展的必要支持政府的立場讓國際社會看到台灣的決心也更願意來幫助台灣克服中國的政治干擾走向世界因此反對美豬進口這一題是重中之重我希望大家能夠支持投下不同意今天晚上我談了很多我知道這些話對很多熱情的支持者像是各位過去幾個月來已經聽了無數次聽到大概都會背了但是我還是要一遍一遍重複的講多一個人的支持我們就多一分力量三接核四美豬公投綁大選這四項公投都是影響未來國家重大的政策台灣能不能持續進步能不能走向世界是我們最在意的事情就看明天這四張公投票大家怎麼投請大家跟著我我們一起走我們一起讓台灣更有力讓台灣走出去所以我問各位決定了嗎有信心嗎明天我們要投四個不同意台灣更有力最後我要提醒大家公投宣傳沒有截止時間今晚十點活動結束但我們公投的宣傳不能結束拜託大家一直到明天下午四點投票結束以前都要繼續拉票繼續宣傳說服更多人加入台灣隊一起投下四個不同意明天早上早早起去投票用我們手上的選票穩住國家發展的方向踏穩改革腳步的節奏一起守住台灣防線一起讓台灣走向世界大家加油台灣加油謝謝大家,6
7,台灣隊站出來選前之夜台北台灣行出去需要你的一臂之力這個禮拜六就是決定台灣未來的關鍵時刻請大家一定要投下四個不同意台北場大型公投說明會我和賴清德副總統蘇貞昌院長等首長將親自向大家面對面說明歡迎大家一同前往或線上鎖定直播🔺台北台灣行出去地點凱達格蘭大道活動現場防疫規範皆依據指揮中心規定辦理我們邀請所有台灣隊友投下四個不同意再次守護台灣前進的方向一起站出來守護台灣的民主與自由,6
8,台灣隊站出來選前之夜高雄大步向前進需要你的一臂之力這個禮拜六就是決定台灣未來的關鍵時刻請大家一定要投下四個不同意高雄場大型公投說明會我和賴清德副總統蘇貞昌院長等首長將親自向大家面對面說明歡迎大家一同前往或線上鎖定直播副總統蘇貞昌院長等首長將親自向大家面對面說明歡迎大家一同前往或線上鎖定直播🔺高雄大步向前進地點高雄台糖物流園區後方空地前鎮區中華五路近夢時代百貨活動現場防疫規範皆依據指揮中心規定辦理我們邀請所有台灣隊友投下四個不同意再次守護台灣前進的方向一起站出來守護台灣的民主與自由,6
9,這篇文很長我希望大家在坐車回家的路上都可以花點時間看看明天就是公投我知道很多朋友特別是年輕的朋友都很關心停建三接這一題在最後倒數階段我想再花點時間跟大家說明我們不同意的理由我也要拜託大家如果支持我們的主張請幫忙分享出去也記得一定要出門投票️⃣藻礁已經有保護針對環保團體擔憂藻礁被破壞而反對興建三接我們縮小開發從馬政府時的公頃藻礁填平方案縮小九成變成只用既有填地公頃第三接收站已經蓋到海上去把生態豐富的藻礁區完整保留下來現在離岸公里不用挖到海下礁石透過棧橋讓天然氣管線能夠接到電廠是對藻礁影響最小的方式️⃣維持電力穩定長期以來北部依賴南電北送中電北送不僅有區域均衡的問題也有整個電網安全穩定的問題興建三接將能為北部帶來穩定電力也能強化全國的供電安全️⃣降低中南部空污現在中南部有很多燃煤電廠如果我們增加天然氣發電排碳量可以減少一半減空污更可以減三分之二將有保護藻礁生態減少中南部空污兩全的價值️⃣邁向淨零轉型的關鍵為了呼應世界淨零轉型的訴求使用低碳低污染的天然氣作為橋接能源就是我們走向先低碳再零碳的務實路線️⃣環保和經濟都雙贏現在三接再外推不僅藻礁有保護空污有減量還能滿足經濟成長的電力需求請大家支持這個再外推方案讓環保和國家發展可以雙贏️⃣不分黨派都要三接三接是國民黨時代就提出來的建設不分政黨都認為三接對北部供電很重要三接不應該被操作成黨派的輸贏請大家一定要為了國家的用電安全來投票我們了解很多人珍愛藻礁但我們絕對沒有為了經濟發展不顧環保相反的我們努力在經濟與環保的價值中找到兩全的折衷方案我們絕對有誠意把生態保護環境保護做得更好這段時間也已經有許多環團的朋友支持三接再外推我要拜託大家一起支持我們明天停建三接公投請投下不同意,6
