,text,like,love,care,haha,wow,sad,angry
0,"今天的公投順利的舉行，謝謝所有辛苦的選務人員，也謝謝所有參與公投的台灣人民，無論你投的是「同意」或者是「不同意」，都是公民意志的展現。

正如我所說的，公投沒有誰輸誰贏的問題，只有國家未來要怎麼走的問題。這次公投的過程，傳達出四個明確的訊息：

第一，台灣人民希望走向世界，願意積極參與國際。

第二，台灣人民支持能源轉型、期待穩定供電，並且維持經濟成長的動能。

第三，台灣人民重視生態環保，希望經濟和環保能夠達成雙贏。

第四，台灣人民期待公共政策能夠資訊透明、被理性討論。

我們也看見，這次公投，也傳達一些對政府施政的不同意見。

民主本來就會對政府的施政有不同的想法，政策的規劃，也應該要聽取不同的意見。穩健執政是我們一貫的原則；各種想法，我們都會適當地納入政策評估與規劃當中。藻礁保育、食安把關，我們也絕對不會打折扣。

我要特別謝謝賴清德副總統、行政院 蘇貞昌 院長、 柯建銘 總召、立法院黨團，以及所有執政團隊的同仁。這幾個月來，透過一場又一場的說明會，讓大家了解我們施政的方向，爭取台灣人民支持我們的主張。

這是一個能夠堅守執政價值，也願意和人民溝通的團隊，我們會繼續攜手，為台灣打拚下去。

我要謝謝許多的公民團體，儘管一開始大家對政策有不同的意見，但終究能夠透過溝通討論，找到共識、找到對國家發展最好的方案，也一起證明了，我們的民主，是奠基在一個成熟的公民社會之上。

這一次的公投說明及辯論，有許多專家及學者的協助，讓我們很多專業的問題，可以更清楚的向社會說明，我要謝謝他們。

這一次的公投，再一次見證了，透過民主機制，不同的意見，可以互相溝通說服；人民的意志，也可以凝聚出價值的選擇。相信當每一次台灣面臨挑戰時，民主都會是我們最堅強的後盾。

我們的眼前，還有很多的挑戰，我們會繼續努力，回報台灣人民的期待。再一次謝謝所有的台灣人民參與了這次的公投，執政團隊會秉持著人民的託付，繼續全力以赴，讓台灣一天比一天更好。",85896,1979,814,98,21,17,200
1,大家晚安！我和 賴清德 副總統正在總統府內，針對「110年全國性公民投票」發表談話。歡迎大家一起加入直播！,19818,3897,273,75,20,25,144
2,大家晚安！稍後七點半，我將和 賴清德 副總統在總統府內，針對「110年全國性公民投票」發表談話。歡迎大家一起加入直播！,25201,728,276,45,7,10,108
3,"大家都出門投公投了嗎？

我們「#一路陪你不同意」直播到投票結束！

今天就是公投投票日，從現在開始到16：00，我們的黨公職與大家在線上連線，提醒大家一定要記得去投票，也帶大家直擊各地投票氣氛。

🔺提醒各位，投票時記得要攜帶印章、身分證和投票通知單，蓋下「四個不同意」票唷！",3497,59,54,12,0,1,93
4,"現在就出門投票！

就在剛剛，我已經完成投票！

請大家也要記得盡快完成投票，投下 #四個不同意，我們一起用投票守護台灣未來的穩健發展！！

#台灣隊友站出來
#台灣隊投票回報
#四個不同意台灣更有力",63360,933,602,102,10,8,202
5,"如果你身邊還有對這四項公投猶豫的朋友，請大家在投票前，給我最後五分鐘，聽聽我的說明。

這四案公投，都是影響國家未來的重大政策，我待會會去投票所投票，請大家也一定要出門投票！

拜託大家，幫我轉傳影片，分享給你還在猶豫的親友們，一起投下 #四個不同意，讓台灣更有力！

#台灣隊站出來",15996,174,215,41,3,4,123
6,"這段時間，我一直在思考，要在公投前的最後一晚說什麼，才能讓更多人了解公投，並支持我們的主張。

我想，作為總統，「充分溝通、誠心說服」仍然是爭取人民認同最好的方法。所以，我選擇再講一次「四個不同意」的理由，並動筆一字一句寫下來。我想告訴大家，這就是我對公投最真實的想法，也是我心裡想對每一位台灣人民說的話。

最後一次，我想請大家一起來了解，為什麼「四個不同意」，可以讓台灣的國際經貿布局、能源安全、以及民主深化更有力。請大家跟我一起走，我們一起讓台灣更有力、讓台灣走出去。

以下是演講全文：

剛才，我上來之前，我也跟大家一起，看了羅景壬導演「站上你家的頂樓」那支影片，我的感觸很深。

裡頭的畫面，真的是歷歷在目。因為那是從2012年到現在的一支影片，已經九年過去了，當年的首投族，現在都已經29歲了。

九年來，大家陪著我一起努力、一起打拚，大家還記得2012年選完的時候，我們說我們還有「最後一哩路」。

我們走完了最後一哩路，2016年我當選總統，我們帶領這個國家，到現在，我們已經帶領台灣，走了很遠了。

我要問在場的好朋友，我想請問一下，2020年投票給我的，可以舉手一下嗎？謝謝你們。那2016年也投給我的，也舉手看看好嗎？下面這題比較困難一點，2012年投票給我的，請舉手好嗎？

太了不起了，你們支持我這麼多年，這麼多次的選舉，不離不棄，真的非常感謝你。

我要謝謝各位「台灣隊友」的支持，你們的支持，我一天都不敢忘記。

今天在這裡，我們不是來為自己歡呼喝采的，我們也不是來這裡批評對手、互相取暖的。我們來這裡，是因為我們要團結努力，台灣隊要站出來守住台灣防線。

這一段時間以來，為了宣傳「四個不同意」的理由，我看到台灣公民社會的成熟。

公投的四個議題，都牽涉很複雜的政策：能源轉型該怎麼做？經濟和環保怎麼樣能夠雙贏？台灣的國際經貿布局下一步是什麼？我們以公投來決定重大政策能不能更理性？

我們的黨公職、我們的支持者，或者覺得自己對台灣未來有責任的年輕人，都站出來，把公投為什麼要「四個不同意」，用最淺白的語言、最容易理解的方式，來說服更多台灣人民，爭取更多支持。

所以我要在這裡，再一次謝謝在這段期間站出來的所有朋友。剛剛我們也聽了分享街講心情的年輕人的報告，還有我們現場辦了一場又一場說明會的黨公職、幹部，謝謝你們，謝謝你們讓台灣的民主繼續往前走。

在這裡，我要再問大家一個問題，明天12月18日，我們就要投票了，大家準備好了嗎？大家決定了嗎？你的決定是什麼？

對，就是「四個不同意，台灣更有力」。

接下來，我要講的，是要對那些還沒有打定主意，還在猶疑的朋友，我要再一次的說明，希望能爭取你們的支持。我也希望在場所有的好朋友，今天在線上收看的好朋友，在聽完我今天講的，我們也可以走出去，找到那個還沒有打定主意的朋友、親戚、鄰居，再一次的說服他們。

這些還沒有做決定、還在猶疑的人，很可能是因為他們對特定價值的堅持。也許他們「珍愛藻礁」，重視生態保育，可是我也要請你們理解，政府並沒有只因為要發展經濟，就不顧生態環境。

#不同意停建三接
我們把三接的開發面積縮小九成、把工業港往外推。我們展現溝通的誠意，讓許多當初對三接有疑慮的公民團體，現在能夠支持我們不同意「停建三接」的主張。

我們這些朋友，他們理解，現階段的三接方案，#是能兼顧生態保育，#又能夠減少南電北送、降低中南部的空污。同時，在再生能源尚在發展階段的時刻，三接能確保供電穩定、支撐經濟發展。這是一個雙贏方案。我們要謝謝我們的行政團隊提出這個方案，也要謝謝這些環保團體朋友，願意和我們溝通，跟我們一起說服社會大眾。

因此，如果你現在還在猶疑、還有保留，我要請你為了國家整體的未來，為了經濟，為了我們能夠順利完成能源轉型，#在停建三接這一題投下不同意。

接下來，我要向對於核電有期待的朋友說幾句話。

或許你認為核電是一個能源選項，我尊重你的看法。但我也請你聽聽我想告訴你的話。

#不同意重啟核四
核四絕對不是選項，重啟核四，更不是我們走向能源轉型，走向未來安全、潔淨、可靠、合乎成本效益的供電選項。

#核四廠座落在地震斷層帶上，一旦發生意外將是災難，從車諾比到福島，我們都見證了災害對於家園永久性的毀滅。

核四機組老舊，供應商不復存在，重啟核四將耗費鉅資及十年以上的時間；而這些時間與金錢的資源，我們可以用在具有未來性的能源開發上。技術每天都在進步，#我們應該投資未來，而不是回到過去。

另外，核四廠及核廢料的處理，經費龐大，社會成本也難以承受。#沒有任何一個縣市願意接受核廢料的儲存，這對土地狹小的台灣，是難上加難。

因此，無論你支持核電，還是反對核電，重啟核四都不應該是選項。這一題，我要拜託大家，投下不同意。

#不同意公投綁大選
公投綁大選這一題，也要拜託大家慎思。我知道提案方的主張，認為公投綁大選可以省下時間和金錢。

但是2018年的經驗告訴我們，長長的投票隊伍，不會省下大家的時間。對於那些需要工作或其他原因，沒有辦法排長長隊伍等待的人，則是變相剝奪他們的投票權利。邊投票邊開票，也會影響到選舉的公平。

我要提醒大家，正是因為這次公投和大選分開。今天，我才能在公投前的最後一場說明會，依然在這裡，一字一句，跟大家解釋、講道理，說服更多人來支持「四個不同意」。

如果這一次是合併選舉，無論是地方首長選舉、還是總統加國會的選舉，激烈的選情、對人對黨的喜歡與不喜歡，一定會影響我們對事情的判斷。

所以，我們讓公投歸公投、選舉歸選舉，#我們的責任是讓台灣民主更優質，讓公民手上的每一張公投票，都是經過完整思辨過程，才決定如何行使的關鍵一票。

因此，為了台灣的民主發展，讓攸關國家重大議題的投票，不要被選舉綁架。公投綁大選這一票，我要請求大家投下不同意。

#不同意反美豬進口
這次公投最具挑戰性的議題，就是美豬進口的議題，我知道很多人擔心食安、擔心萊劑的使用會影響健康。這是一個科學的問題。科學上，專家告訴我們只要符合國際標準，就不會威脅到健康。而九年前開放美牛的經驗，證明符合標準且經過政府把關的牛肉，並沒有造成食安的問題。牛肉是如此，豬肉也會是如此。

但是有些家長仍然擔心自己的子女，這也在所難免。因此，學校裡供應的午餐，將以國產豬肉供應。更何況，開放進口，並不等於消費者的選擇受到限制，消費者仍然能夠自由地選擇，自己喜歡的豬肉產品。

民進黨在2012年在野的時候，曾經擔心過萊劑使用的問題；但在國際組織CODEX宣布相關的國際標準之後，我們那時候的黨主席，蘇院長也宣布，我們也接受了國際標準。

經過九年的美牛進口的驗證，我們認為食安的風險，透過國際標準、透過政府把關，這個風險是可以掌握的。也因此，我們決心進一步的開放美豬，為了解決長久以來台灣跟美國貿易上的困難，為下一階段台灣跟美國的貿易關係打下基礎。

我也要告訴大家，因為我們進一步開放美豬進口，今年美國宣布重啟TIFA，這是台灣跟美國貿易諮商對話的最重要平台。

有了這個平台，#台美才有機會共同討論雙邊經貿議題，為走向一個更自由化的雙邊貿易做好準備。當條件成熟的時候，我們也希望能夠跟美國簽署自由貿易協定。

同樣的道理，#我們也希望加入CPTPP這個高標準的自由貿易協定。很多CPTPP的會員國，都表示歡迎台灣，但他們期待台灣能拿出決心，克服困難，打開市場，遵守國際規則。因此，他們也都在看我們，如何解決美豬這個困難的貿易問題。

無論是台美FTA還是CPTPP，這都是台灣要擺脫被孤立的重要布局。#美豬進口就是關鍵中的關鍵。

台灣固然有半導體及電子產業在國際上占有一席之地；但我們仍然有很多產品，尤其是傳統產業的出口，仍受到關稅、非關稅障礙的阻礙。#我們勢必要透過雙邊或區域的自由貿易協定，為這些產業打開國際市場。

走出去，與世界接軌，為產業爭取更多的機會，我們走的路，比其他國家更艱難、更坎坷。這是因為我們有一個鄰居，正用盡全力要阻止台灣走向世界，但是為了台灣的生存發展，我們一定走出去。

身為總統，我想請求台灣人民，理解國家的處境，以及我們生存發展的必要，支持政府的立場，#讓國際社會看到台灣的決心，也更願意來幫助台灣克服中國的政治干擾，走向世界。

因此，反對美豬進口這一題，是重中之重，我希望大家能夠支持，投下不同意。

今天晚上，我談了很多，我知道這些話，對很多熱情的支持者，像是各位，過去幾個月來，已經聽了無數次，聽到大概都會背了。但是我還是要一遍一遍，重複的講，多一個人的支持，我們就多一分力量。

三接、核四、美豬、公投綁大選，這四項公投，都是影響未來國家重大的政策。

台灣能不能持續進步、能不能走向世界，是我們最在意的事情，就看明天這四張公投票大家怎麼投。

請大家跟著我，我們一起走，我們一起讓台灣更有力、讓台灣走出去。

所以，我問各位，決定了嗎？有信心嗎？明天我們要投「四個不同意，台灣更有力」。

最後，我要提醒大家，公投宣傳沒有截止時間，今晚十點活動結束，但我們公投的宣傳不能結束。

拜託大家，一直到明天下午四點投票結束以前，都要繼續拉票、繼續宣傳，說服更多人加入台灣隊，一起投下「四個不同意」。

明天早上早早起、去投票，用我們手上的選票，穩住國家發展的方向、踏穩改革腳步的節奏，一起守住台灣防線，一起讓台灣走向世界。大家加油，台灣加油，謝謝大家。",78902,1175,1279,111,20,14,285
7,"台灣隊站出來 選前之夜
台北「台灣行出去」 需要你的一臂之力！

這個禮拜六，就是決定台灣未來的關鍵時刻，1218請大家一定要投下「四個不同意！」

台北場大型公投說明會，我和 賴清德副總統、蘇貞昌院長等首長，將親自向大家面對面說明，歡迎大家一同前往，或線上鎖定直播。

🔺台北 #台灣行出去
地點：凱達格蘭大道
活動現場防疫規範，皆依據指揮中心規定辦理

我們邀請所有台灣隊友，投下四個不同意，再次守護台灣前進的方向，一起站出來，守護台灣的民主與自由！",12399,859,283,60,14,15,341
8,"台灣隊站出來 選前之夜
高雄「大步向前進」 需要你的一臂之力！

這個禮拜六，就是決定台灣未來的關鍵時刻，1218請大家一定要投下「四個不同意！」

高雄場大型公投說明會，我和 賴清德副總統、蘇貞昌院長等首長，將親自向大家面對面說明，歡迎大家一同前往，或線上鎖定直播。 副總統、 蘇貞昌 院長等首長，將親自向大家面對面說明，歡迎大家一同前往，或線上鎖定直播。

🔺高雄 #大步向前進
地點：高雄台糖物流園區後方空地(前鎮區中華五路近夢時代百貨)
活動現場防疫規範，皆依據指揮中心規定辦理

我們邀請所有台灣隊友，投下四個不同意，再次守護台灣前進的方向，一起站出來，守護台灣的民主與自由！",11738,784,294,54,10,19,355
9,"這篇文很長，我希望大家在坐車回家的路上，都可以花點時間看看。

明天就是公投，我知道很多朋友，特別是年輕的朋友，都很關心停建三接這一題。在最後倒數階段，我想再花點時間，跟大家說明我們不同意的理由。

我也要拜託大家，如果支持我們的主張，請幫忙分享出去，也 #記得一定要出門投票：

1️⃣藻礁已經有保護：針對環保團體擔憂藻礁被破壞，而反對興建三接，我們縮小開發，從馬政府時的232公頃藻礁填平方案，縮小九成變成只用既有填地23公頃。

#第三接收站已經蓋到海上去，把生態豐富的G1、G2藻礁區完整保留下來。現在離岸1.2公里，不用挖到海下礁石，透過棧橋讓天然氣管線能夠接到電廠，是對藻礁影響最小的方式。

2️⃣維持電力穩定：長期以來，北部依賴南電北送、中電北送，不僅有區域均衡的問題，也有整個電網安全穩定的問題。興建三接，將能為北部帶來穩定電力，也能強化全國的供電安全。

3️⃣降低中南部空污：現在中南部有很多燃煤電廠，如果我們增加天然氣發電，排碳量可以減少一半，減空污更可以減三分之二。將有保護藻礁生態、減少中南部空污兩全的價值。

4️⃣邁向淨零轉型的關鍵：為了呼應世界 #2050淨零轉型 的訴求，使用低碳、低污染的天然氣作為橋接能源，就是我們走向2050，先低碳、再零碳的務實路線。

5️⃣環保和經濟都雙贏：現在三接再外推，不僅藻礁有保護、空污有減量，#還能滿足經濟成長的電力需求。請大家支持這個再外推方案，讓環保和國家發展可以雙贏。

6️⃣不分黨派都要三接：三接是國民黨時代就提出來的建設，不分政黨都認為三接對北部供電很重要，三接不應該被操作成黨派的輸贏，#請大家一定要為了國家的用電安全來投票。

我們了解很多人「珍愛藻礁」，但我們絕對沒有為了經濟發展不顧環保。相反的，我們努力在經濟與環保的價值中，找到兩全的折衷方案。

我們絕對有誠意，把生態保護、環境保護做得更好，這段時間，也已經有許多環團的朋友支持三接再外推，我要拜託大家一起支持我們，明天 #停建三接公投請投下不同意。",39741,345,543,117,14,17,326
