text,label
"V領設計能夠修飾臉型😍
減齡泡泡袖洋裝😉
👉https://lihi1.com/JDymc

領型:V領
厚薄:薄款",1
"【20210303】
能勇敢追夢的人
身上都閃著和煦的光芒
也是好生羨慕！
-
敬那天一起看的夕陽
真希望哪天能一起去看極光！",0
"玉 耳環
#耳環 #玉 #earrings",1
"【美國瘋潮WWE Taiwan】
不管是WWE Elite還是AEW Unrivaled系列的人偶公仔在這應有盡有！😙👍 正版WWE周邊商品人氣熱賣中👍📦🏃😍想要最多最優惠最齊全的美國職業摔角正版周邊熱門商品，快點來我的賣場參考選購吧！🙏🙇 🎉📲📞
露天WWE賣場-- https://goo.gl/pAOQnE

蝦皮WWE賣場-- https://shopee.tw/wwetaiwan

Line: @gbd4526L

#wwetees
#公仔人偶
#cosplay
#美國瘋潮
#WWE
#WWEshop
#美國代購
#職業摔角
#美泰
#潮T
#台北市歡迎面交 
#AEW
#orangecassidy
#RandyOrton
#RKO
#重量級冠軍
#摔角人偶
#開箱文
#摔角狂熱
#冠軍腰帶
#championship",1
"🌈
尋晚的post 一po已經被秒殺好多件的Vintage sports windbreakers💕
每一件成色和condition都好靚
而且都是女生可穿的size！
#男女可穿 #unisex
喜歡的不要錯過了
DM我地留貨啦！

Reebok sportswear windbreaker
肩長: 64cm
衣長: 67cm

運動風褸應該係春天最好嘅伴侶
✅潮濕毛毛雨又可以着到
✅唔着時又可以摺埋一舊放喺袋入邊
✅入邊可以配件小背心營造型格小性感
✅又可以同男朋友兩份着🥰

#vintagewindbreaker #NIKE #Ellesse #Reebok #adidas #vintagesportswear",1
"記錄之前棚拍の幕後花絮̋(๑˃́ꇴ˂̀๑)～～～

#還沒發完大概還要再發三篇☺️",0
"-
時間真的過的好快
我在富邦滿一年了🥺
想當初剛踏入富邦的時候
還是一個小男孩👦🏻
-
這一年發生了好多的事情
用了半年的時間晉升業務主任
謝謝一直協助我的學長姐
由衷感謝一路支持我的家人和朋友❤️
-
從一開始一個人🙋🏻‍♂️
到現在有三個夥伴陪著我一起努力
我們都希望可以讓工作更有價值☀️
-
#順良的業務生活
#相信每個選擇都是最好的安排 
#富邦人壽 #高慶通訊處",0
"和你們在一起可以短暫的忘記煩惱❤️

#我的IG都是你們
#最後一張不要看
#六弦吉他社 
#黑色安息日 
#台灣小吃部
#十年後收聽",0
"最近的生活。。連照片都用去年的🥲
我還是大學生吧⋯？？？",0
"💗泰泰Pop💗 新款上架

一如既往超極推薦材質超棒
有型又好看舒適哪裡找得到🔥🔥
大家記得截圖來詢問喔❤️❤️

——————————
#歡迎敲我們👇🏻👇🏻👇🏻
🅰️官荒疑難雜症詢問處
https://line.me/R/ti/p/%40eun4111r
🅰️專屬IG : alittle8826
📍A Little Shop 店址📍
台北市信義區永吉路443巷1弄18號",1
