排名[15],頻道名稱,訂閱數（萬）,建立日期,里程碑,達標天數,Facebook
2,這群人TGOP,345,2008年6月7日,2019年8月15日,4086,thisgroupofpeople
3,葉式特工 Yes Ranger,331,2011年9月26日,2021年9月2日,3629, YESRANGER
7,阿滴英文,268,2015年1月11日,2019年1月11日,1461, RayDuEnglish
8,蔡阿嘎,251,2006年6月4日,2019年3月16日,4659, WithGaLoveTaiwan
10,周杰倫 Jay Chou,229,2019年10月29日,,, jay
11,Joeman,215,2010年10月11日,2020年12月7日,3710, JoemanStation
12,木曜4超玩,216,2017年2月16日,2021年2月21日,1465, Muyao4
13,眾量級CROWD,207,2016年9月18日,2021年1月25日,1590, etman0909
14,主頻道【谷阿莫】,197,2015年8月11日,2017年4月30日,549, amogood2.0
15,Ru's Piano Ru味春捲,187,2018年3月14日,,, ruruspiano
16,黃氏兄弟,185,2017年4月4日,2019年3月31日,727, HuangHuangBrother
18,千千進食中,167,2016年7月10日,2019年4月12日,1006, Chienseating
19,黃阿瑪的後宮生活,155,2015年12月28日,2018年12月1日,1070, fumeancats
20,WACKYBOYS 反骨男孩,154,2007年10月6日,2018年10月28日,4040, Wackyboys.Fans
